shuffled_index,model,trial_index
0,lstm_stack,13
1,gru_stack,8
2,lru,7
3,lstm,10
4,transformer_ff,1
5,gru_stack,15
6,transformer_attn,11
7,linoss_im,0
8,lru,10
9,lstm_stack,5
10,human,5
11,transformer_ff,5
12,lstm_stack,7
13,linoss_imex,4
14,linoss_im,11
15,human,4
16,transformer_attn,8
17,gru_stack,11
18,transformer_attn,2
19,lru,8
20,gru,3
21,lru,9
22,transformer_ff,10
23,lstm_stack,0
24,s5,1
25,gru,14
26,linoss_im,1
27,linoss_imex,6
28,lru,2
29,transformer_attn,12
30,transformer_ff,4
31,transformer_attn,13
32,s5,6
33,human,11
34,lstm,3
35,lru,1
36,lstm,7
37,s5,5
38,transformer_attn,4
39,transformer_ff,0
40,lru,4
41,gru,11
42,s5,13
43,gru,15
44,gru,9
45,transformer_attn,14
46,linoss_imex,0
47,s5,14
48,lstm,11
49,lstm_stack,4
50,transformer_attn,6
51,human,15
52,linoss_im,10
53,human,3
54,lstm,1
55,linoss_imex,13
56,lru,5
57,linoss_imex,9
58,lstm_stack,2
59,gru,13
60,linoss_imex,11
61,lstm_stack,11
62,lru,6
63,lstm_stack,1
64,transformer_ff,6
65,linoss_imex,2
66,linoss_imex,14
67,s5,15
68,lru,0
69,gru,12
70,human,1
71,lru,3
72,human,7
73,linoss_im,5
74,s5,11
75,lru,14
76,lru,15
77,transformer_attn,0
78,s5,0
79,human,6
80,linoss_imex,7
81,linoss_im,8
82,s5,8
83,lstm_stack,10
84,linoss_im,9
85,lstm_stack,8
86,lstm,12
87,linoss_im,3
88,lstm,6
89,lru,13
90,s5,9
91,lstm,2
92,lstm,9
93,linoss_im,6
94,gru,1
95,linoss_im,15
96,linoss_imex,5
97,transformer_attn,7
98,human,9
99,linoss_im,2
100,gru_stack,4
101,linoss_imex,10
102,transformer_attn,15
103,gru,2
104,transformer_ff,8
105,human,2
106,lru,11
107,s5,4
108,gru_stack,2
109,lstm_stack,3
110,transformer_ff,14
111,linoss_im,4
112,transformer_ff,2
113,transformer_ff,11
114,gru_stack,5
115,transformer_ff,3
116,s5,2
117,human,13
118,gru_stack,13
119,linoss_imex,12
120,gru,7
121,gru,0
122,gru_stack,12
123,s5,10
124,transformer_attn,10
125,linoss_imex,15
126,linoss_im,14
127,gru,10
128,linoss_imex,1
129,s5,3
130,transformer_ff,15
131,lstm,15
132,linoss_imex,8
133,human,8
134,transformer_attn,3
135,human,10
136,gru_stack,7
137,gru_stack,3
138,gru,6
139,transformer_attn,5
140,transformer_ff,7
141,gru_stack,10
142,gru_stack,6
143,linoss_im,13
144,gru_stack,14
145,gru_stack,1
146,linoss_im,7
147,lstm,14
148,human,14
149,transformer_attn,9
150,human,0
151,linoss_imex,3
152,s5,12
153,lstm,0
154,human,12
155,lstm_stack,12
156,lstm,4
157,transformer_ff,12
158,lstm,8
159,lru,12
160,gru,4
161,lstm_stack,15
162,gru,5
163,gru,8
164,lstm_stack,14
165,lstm_stack,6
166,lstm_stack,9
167,gru_stack,9
168,linoss_im,12
169,transformer_ff,9
170,lstm,13
171,gru_stack,0
172,lstm,5
173,s5,7
174,transformer_attn,1
