shuffled_index,model,trial_index
0,linoss_imex,2
1,lstm,0
2,linoss_imex,12
3,linoss_imex,1
4,human,13
5,lru,12
6,s5,13
7,transformer_ff,3
8,linoss_imex,6
9,lru,8
10,transformer_attn,11
11,lstm,12
12,linoss_im,5
13,gru,12
14,lstm_stack,8
15,lstm_stack,3
16,lstm_stack,12
17,gru,13
18,linoss_im,13
19,gru_stack,10
20,lru,2
21,transformer_ff,2
22,linoss_imex,10
23,lstm,2
24,linoss_im,0
25,linoss_im,12
26,gru,7
27,lstm_stack,11
28,linoss_imex,5
29,lstm_stack,2
30,lru,11
31,transformer_ff,12
32,gru,0
33,human,1
34,gru_stack,11
35,gru_stack,13
36,lstm,7
37,lstm_stack,5
38,gru,14
39,linoss_imex,0
40,transformer_attn,10
41,human,11
42,lstm,3
43,transformer_attn,12
44,linoss_imex,13
45,lstm_stack,13
46,transformer_attn,2
47,gru,2
48,linoss_im,2
49,transformer_attn,13
50,transformer_ff,0
51,lru,13
52,s5,2
53,gru_stack,12
54,s5,12
55,s5,0
56,linoss_im,8
57,linoss_imex,9
58,human,12
59,lstm,5
60,gru,5
61,gru_stack,5
62,lstm,1
63,gru_stack,14
64,human,10
65,gru_stack,9
66,transformer_ff,10
67,lstm,13
68,lstm_stack,0
69,lstm,11
70,transformer_attn,8
71,human,14
72,gru_stack,8
73,gru,8
74,s5,5
75,s5,8
76,linoss_imex,14
77,lru,9
