shuffled_index,model,trial_index
0,linoss_imex,1
1,linoss_imex,14
2,lru,4
3,s5,1
4,transformer_ff,15
5,transformer_attn,0
6,transformer_ff,13
7,gru_stack,13
8,lstm_stack,3
9,lstm,0
10,linoss_im,12
11,gru_stack,0
12,linoss_imex,12
13,transformer_attn,14
14,human,14
15,gru_stack,1
16,linoss_im,3
17,lstm,1
18,lru,0
19,s5,4
20,s5,15
21,transformer_ff,12
22,s5,3
23,linoss_imex,0
24,lstm_stack,12
25,linoss_imex,13
26,lru,12
27,gru,1
28,gru,12
29,human,0
30,lru,14
31,lru,3
32,gru_stack,14
33,linoss_im,0
34,lstm,14
35,transformer_attn,12
36,gru_stack,3
37,linoss_imex,3
38,lstm_stack,0
39,human,12
40,lstm,12
41,transformer_attn,15
42,lru,8
43,s5,12
44,gru,3
45,linoss_im,4
46,transformer_ff,1
47,transformer_ff,4
48,lstm,4
49,s5,14
50,gru_stack,15
51,transformer_attn,1
52,s5,13
53,linoss_im,14
54,lru,1
55,human,13
56,lstm_stack,1
57,gru,4
58,gru_stack,4
59,lstm,13
60,linoss_im,1
61,human,1
62,gru_stack,12
63,transformer_ff,14
64,lstm_stack,14
65,s5,0
66,lstm_stack,4
67,human,15
68,gru_stack,11
69,gru,13
70,transformer_attn,3
71,transformer_attn,4
72,lru,11
73,lru,15
