Simulation start time,Model,Task,Trial,Simulation test 1,Simulation test 2,Simulation test 3,Simulation finished (within 3 attempts),Animation looks safe,Animation Notes
2025-09-10 17-49-58,human,pouring,0,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-50-26,human,pouring,1,0,1,,1,1,"Good tilt, smooth"
2025-09-10 17-51-32,human,pouring,2,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-52-00,human,pouring,3,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-52-29,human,pouring,4,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-52-56,human,pouring,5,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-53-24,human,pouring,6,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-53-52,human,pouring,7,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-54-20,human,pouring,8,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-54-48,human,pouring,9,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-55-16,human,pouring,10,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-55-45,human,pouring,11,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-56-15,human,pouring,12,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-56-43,human,pouring,13,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-57-12,human,pouring,14,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-57-40,human,pouring,15,1,,,1,1,"Good tilt, smooth"
2025-09-10 17-58-36,human,scooping_powder,0,0,0,0,0,1,
2025-09-10 18-00-53,human,scooping_powder,1,0,0,1,1,1,
2025-09-10 18-02-57,human,scooping_powder,2,0,0,0,0,1,
2025-09-10 18-05-13,human,scooping_powder,3,0,0,0,0,1,
2025-09-10 18-07-19,human,scooping_powder,4,0,0,0,0,1,
2025-09-10 18-09-20,human,scooping_powder,5,0,0,0,0,1,
2025-09-10 18-11-24,human,scooping_powder,6,0,0,0,0,1,
2025-09-10 18-13-45,human,scooping_powder,7,0,0,0,0,1,
2025-09-10 18-15-56,human,scooping_powder,8,0,0,0,0,1,
2025-09-10 18-18-14,human,scooping_powder,9,0,0,0,0,1,
2025-09-10 18-20-19,human,scooping_powder,10,1,,,1,1,
2025-09-10 18-20-48,human,scooping_powder,11,1,,,1,1,
2025-09-10 18-21-16,human,scooping_powder,12,1,,,1,1,
2025-09-10 18-21-44,human,scooping_powder,13,1,,,1,1,
2025-09-10 18-22-12,human,scooping_powder,14,1,,,1,1,
2025-09-10 18-25-03,human,stirring,0,1,,,1,1,
2025-09-10 18-25-32,human,stirring,1,1,,,1,1,
2025-09-10 18-26-00,human,stirring,2,0,0,0,0,1,
2025-09-10 18-28-04,human,stirring,3,0,0,0,0,1,
2025-09-10 18-39-38,diff_transformer_attn,pouring,0,0,0,0,0,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-41-56,diff_transformer_attn,pouring,1,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-42-19,diff_transformer_attn,pouring,2,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-42-42,diff_transformer_attn,pouring,3,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-43-05,diff_transformer_attn,pouring,4,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-43-28,diff_transformer_attn,pouring,5,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-43-51,diff_transformer_attn,pouring,6,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-44-14,diff_transformer_attn,pouring,7,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-44-37,diff_transformer_attn,pouring,8,0,1,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-45-50,diff_transformer_attn,pouring,9,0,1,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-47-43,diff_transformer_attn,pouring,10,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-48-05,diff_transformer_attn,pouring,11,0,1,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-49-17,diff_transformer_attn,pouring,12,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-49-40,diff_transformer_attn,pouring,13,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-50-03,diff_transformer_attn,pouring,14,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-50-26,diff_transformer_attn,pouring,15,0,0,1,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-52-43,diff_transformer_ff,pouring,0,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-53-06,diff_transformer_ff,pouring,1,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-53-29,diff_transformer_ff,pouring,2,0,1,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-54-36,diff_transformer_ff,pouring,3,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-54-59,diff_transformer_ff,pouring,4,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-55-22,diff_transformer_ff,pouring,5,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-55-45,diff_transformer_ff,pouring,6,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-56-08,diff_transformer_ff,pouring,7,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-56-31,diff_transformer_ff,pouring,8,0,0,0,0,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-58-45,diff_transformer_ff,pouring,9,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-59-08,diff_transformer_ff,pouring,10,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-59-31,diff_transformer_ff,pouring,11,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 18-59-54,diff_transformer_ff,pouring,12,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 19-00-17,diff_transformer_ff,pouring,13,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 19-00-40,diff_transformer_ff,pouring,14,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 19-01-03,diff_transformer_ff,pouring,15,1,,,1,0,"Very shaky, but on average seem to follow reasonable path"
2025-09-10 19-01-49,gru,pouring,0,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-02-12,gru,pouring,1,0,1,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-03-16,gru,pouring,2,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-03-39,gru,pouring,3,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-04-02,gru,pouring,4,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-04-25,gru,pouring,5,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-04-48,gru,pouring,6,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-05-11,gru,pouring,7,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-05-34,gru,pouring,8,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-05-57,gru,pouring,9,0,1,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-07-09,gru,pouring,10,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-07-32,gru,pouring,11,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-07-55,gru,pouring,12,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-08-18,gru,pouring,13,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-08-41,gru,pouring,14,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-09-04,gru,pouring,15,1,,,1,1,"Smooth, seem to move to good locations and follow natural paths"
2025-09-10 19-09-50,gru_stack,pouring,0,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-10-13,gru_stack,pouring,1,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-10-36,gru_stack,pouring,2,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-10-59,gru_stack,pouring,3,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-11-22,gru_stack,pouring,4,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-11-45,gru_stack,pouring,5,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-12-08,gru_stack,pouring,6,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-12-31,gru_stack,pouring,7,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-12-54,gru_stack,pouring,8,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-13-17,gru_stack,pouring,9,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-13-40,gru_stack,pouring,10,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-14-03,gru_stack,pouring,11,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-14-26,gru_stack,pouring,12,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-14-49,gru_stack,pouring,13,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-15-12,gru_stack,pouring,14,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
2025-09-10 19-15-35,gru_stack,pouring,15,1,,,1,1,"Smooth and reasonable, but often seem a bit short of the glass"
