shuffled_index,model,trial_index
0,linoss_im,8
1,gru,7
2,gru,0
3,linoss_imex,0
4,transformer_ff,10
5,lstm,12
6,human,12
7,lru,9
8,transformer_ff,12
9,human,13
10,lstm,11
11,s5,8
12,linoss_im,13
13,linoss_imex,5
14,gru_stack,11
15,gru,12
16,linoss_imex,14
17,linoss_imex,13
18,s5,0
19,transformer_attn,2
20,transformer_attn,10
21,transformer_attn,11
22,s5,12
23,human,14
24,lstm,0
25,linoss_imex,10
26,lstm_stack,8
27,linoss_imex,2
28,linoss_im,2
29,gru_stack,9
30,lstm_stack,2
31,lstm,13
32,s5,13
33,lstm,5
34,linoss_im,12
35,human,10
36,lstm_stack,12
37,lstm_stack,5
38,gru,5
39,human,11
40,transformer_attn,12
41,gru_stack,8
42,gru,8
43,lru,8
44,linoss_imex,12
45,linoss_im,0
46,transformer_ff,3
47,linoss_imex,1
48,transformer_attn,13
49,gru_stack,12
50,lstm,7
51,lstm,3
52,s5,2
53,transformer_ff,0
54,lstm_stack,11
55,lstm,1
56,lru,2
57,gru,14
58,s5,5
59,linoss_imex,9
60,lru,12
61,lru,13
62,lstm_stack,3
63,lstm,2
64,gru_stack,5
65,human,1
66,transformer_attn,8
67,lstm_stack,0
68,gru,13
69,gru_stack,13
70,gru_stack,14
71,linoss_im,5
72,transformer_ff,2
73,lstm_stack,13
74,lru,11
75,linoss_imex,6
76,gru,2
77,gru_stack,10
